N°	Fecha	Hora de inicio	Hora de fin	Tiempo de respuesta (ms)	Tipo de operación	Estado	Observación
18	02/07/2026	04:40:42.898	04:40:43.140	242	CorreoPersonaController.findByPersonaId	Exitosa	Respuesta dentro del rango esperado
19	02/07/2026	04:40:47.684	04:40:48.166	482	PersonaController.getPersonasPage	Exitosa	Respuesta dentro del rango esperado
20	02/07/2026	04:40:47.684	04:40:48.279	595	PersonaController.getPersonaStats	Exitosa	Respuesta dentro del rango esperado
21	02/07/2026	04:40:53.050	04:40:53.337	287	PersonaController.getPersonasPage	Exitosa	Respuesta dentro del rango esperado
22	02/07/2026	04:41:04.507	04:41:04.873	366	CarpetaController.findRaices	Exitosa	Respuesta dentro del rango esperado
23	02/07/2026	04:41:04.507	04:41:04.873	366	CarpetaController.findRaices	Exitosa	Respuesta dentro del rango esperado
24	02/07/2026	04:41:06.080	04:41:06.440	360	CarpetaController.findRaices	Exitosa	Respuesta dentro del rango esperado
25	02/07/2026	04:41:09.032	04:41:09.399	367	CarpetaController.findRaices	Exitosa	Respuesta dentro del rango esperado
26	02/07/2026	04:41:09.032	04:41:09.399	367	CarpetaController.findRaices	Exitosa	Respuesta dentro del rango esperado
27	02/07/2026	04:41:10.634	04:41:10.992	358	CarpetaController.findRaices	Exitosa	Respuesta dentro del rango esperado
28	02/07/2026	04:41:15.041	04:41:15.165	124	SucursalController.getDropdown	Exitosa	Respuesta dentro del rango esperado
29	02/07/2026	04:41:15.041	04:41:15.165	124	ProductoController.getDropdown	Exitosa	Respuesta dentro del rango esperado
30	02/07/2026	04:41:15.044	04:41:15.166	122	EstadosCotizacionController.getDropdown	Exitosa	Respuesta dentro del rango esperado
31	02/07/2026	04:41:15.041	04:41:15.167	126	FormaPagoController.getDropdown	Exitosa	Respuesta dentro del rango esperado
32	02/07/2026	04:41:15.041	04:41:15.691	650	CotizacionController.findAll	Exitosa	Respuesta dentro del rango esperado
33	02/07/2026	04:41:15.050	04:41:15.873	823	PersonaNaturalController.getDropdown	Exitosa	Respuesta dentro del rango esperado
34	02/07/2026	04:41:16.246	04:41:16.487	241	CategoriaController.getDropdown	Exitosa	Respuesta dentro del rango esperado
35	02/07/2026	04:41:16.247	04:41:16.501	254	ProveedorController.getDropdown	Exitosa	Respuesta dentro del rango esperado
36	02/07/2026	04:41:16.977	04:41:17.599	622	PersonaController.findPersonaNaturalOrJuridicaByIdDropdown	Exitosa	Respuesta dentro del rango esperado
37	02/07/2026	04:41:16.992	04:41:17.600	607	PersonaController.findPersonaNaturalOrJuridicaByIdDropdown	Exitosa	Respuesta dentro del rango esperado
38	02/07/2026	04:43:53.407	04:43:55.571	2164	CotizacionController.createWithPersona	Exitosa	Respuesta dentro del rango esperado
39	02/07/2026	04:43:56.651	04:43:58.917	2266	DetalleCotizacionController.create	Exitosa	Respuesta dentro del rango esperado
40	02/07/2026	04:44:00.486	04:44:02.737	2251	DetalleCotizacionController.create	Exitosa	Respuesta dentro del rango esperado
41	02/07/2026	04:44:04.284	04:44:06.537	2253	DetalleCotizacionController.create	Exitosa	Respuesta dentro del rango esperado
42	02/07/2026	04:44:08.101	04:44:10.360	2259	DetalleCotizacionController.create	Exitosa	Respuesta dentro del rango esperado
43	02/07/2026	04:44:11.920	04:44:12.527	607	CotizacionController.findAll	Exitosa	Respuesta dentro del rango esperado
